genbank_acc,nic_location,query_index,mob,mob_subgroup,q-value,E-value
NC_009926,184676,14,P,6,1.6057891911782806e-110,0.0011875731983150473
NC_009926,232470,50,F,u,2.2646822918276396e-97,0.0067105850916819145
NC_009926,147650,64,Q,2,2.2646822918276396e-97,0.007200462413088083
NC_009926,147434,69,Q,u,2.2646822918276396e-97,0.0008330295122196415
NC_009926,96517,107,V,u,2.2646822918276396e-97,0.005260904130070283
NC_009927,145905,50,F,u,2.2646822918276396e-97,7.073923969059414e-05
NC_009927,145830,64,Q,2,2.2646822918276396e-97,0.006065413138676022
NC_009928,7068,64,Q,2,2.2646822918276396e-97,0.002253514660046997
NC_009932,145930,11,P,4,3.7321620681430386e-95,0.006846370339972133
NC_009932,14812,50,F,u,6.493775513759919e-94,0.007270434859657539
NC_001275,1686,50,F,u,1.2987214849144196e-88,0.004561003312789871
NC_021976,96465,27,Q,u,1.7472640227885644e-88,0.005616430481449997
NC_021976,165169,29,Q,u,1.651464473564543e-87,0.0038164571241719367
NC_021976,173850,50,F,u,2.091538433516593e-84,0.0032663324664136835
NC_021976,169306,69,Q,u,2.454983183706055e-79,0.00840156879087713
NC_021976,15279,71,Q,u,4.8096689216936546e-79,0.0017456629224635086
NC_021976,114164,108,V,u,1.8451206362335288e-78,0.0029313008077722844
NC_021992,2457,64,Q,2,9.853500260053783e-78,0.0017000448842298475
NC_013210,37537,24,Q,2,1.1962160171229096e-73,0.0046276487518945785
NC_013210,19525,50,F,u,1.1962160171229096e-73,0.005389647820175346
NC_013210,12883,50,F,u,1.442515491814189e-73,0.002138751798152717
NC_013210,150311,64,Q,2,6.478684128522574e-73,0.0006523195397410743
NC_013210,14038,64,Q,2,6.478684128522574e-73,0.003746798931279757
NC_013210,172942,71,Q,u,2.0678732882787072e-72,0.0008710847039263152
NC_013210,185945,71,Q,u,3.1588998251230997e-72,0.00899208467196907
NC_013211,11254,50,F,u,3.1588998251230997e-72,0.005389647820175346
NC_013211,86823,50,F,u,3.1588998251230997e-72,0.007363094725716279
NC_013211,68129,64,Q,2,3.1588998251230997e-72,0.004304873436346465
NC_013211,57577,64,Q,2,3.634839062620761e-72,0.0023075992422800233
NC_013212,25250,50,F,u,3.634839062620761e-72,0.005389647820175346
NC_013212,10218,71,Q,u,3.634839062620761e-72,0.00466616817911088
NC_017104,37537,24,Q,2,3.634839062620761e-72,0.0046276487518945785
NC_017104,19525,50,F,u,3.634839062620761e-72,0.005389647820175346
NC_017104,12883,50,F,u,3.634839062620761e-72,0.002138751798152717
NC_017104,150311,64,Q,2,5.016636812107528e-72,0.0006523195397410743
NC_017104,14038,64,Q,2,5.417448237946673e-72,0.003746798931279757
NC_017104,172942,71,Q,u,8.124572215637455e-72,0.0008710847039263152
NC_017104,185945,71,Q,u,1.0366058958187428e-71,0.00899208467196907
NC_017105,11254,50,F,u,1.824149954598119e-71,0.005389647820175346
NC_017105,86823,50,F,u,1.9168884508257606e-71,0.007363094725716279
NC_017105,68129,64,Q,2,1.9168884508257606e-71,0.004304873436346465
NC_017105,57577,64,Q,2,1.9168884508257606e-71,0.0023075992422800233
NC_017151,25250,50,F,u,4.6965091592070886e-71,0.005389647820175346
NC_017151,10218,71,Q,u,4.6965091592070886e-71,0.00466616817911088
NC_017101,37165,24,Q,2,8.145424594305522e-70,0.0046276487518945785
NC_017101,19153,50,F,u,1.4344308521277767e-69,0.005389647820175346
NC_017101,12511,50,F,u,1.5182365399799504e-69,0.002138751798152717
NC_017101,149939,64,Q,2,1.7258001017965074e-69,0.0006523195397410743
NC_017101,13666,64,Q,2,5.034162925025373e-69,0.003746798931279757
NC_017101,172570,71,Q,u,5.034162925025373e-69,0.0008710847039263152
NC_017101,185573,71,Q,u,5.034162925025373e-69,0.00899208467196907
NC_017118,11254,50,F,u,5.034162925025373e-69,0.005389647820175346
NC_017118,86823,50,F,u,5.401450965487276e-69,0.007363094725716279
NC_017118,68129,64,Q,2,5.401450965487276e-69,0.004304873436346465
NC_017118,57577,64,Q,2,5.401450965487276e-69,0.0023075992422800233
NC_017119,25250,50,F,u,5.401450965487276e-69,0.005389647820175346
NC_017119,10218,71,Q,u,5.401450965487276e-69,0.00466616817911088
NC_017143,37165,24,Q,2,1.2166610492478906e-68,0.0046276487518945785
NC_017143,19153,50,F,u,1.2166610492478906e-68,0.005389647820175346
NC_017143,12511,50,F,u,2.822864804934909e-68,0.002138751798152717
NC_017143,149939,64,Q,2,3.5129282342678528e-68,0.0006523195397410743
NC_017143,13666,64,Q,2,2.3329522941969087e-67,0.003746798931279757
NC_017143,172570,71,Q,u,2.5998364052622806e-66,0.0008710847039263152
NC_017143,185573,71,Q,u,3.296454896841027e-66,0.00899208467196907
NC_017122,11254,50,F,u,3.5842698818467157e-66,0.005389647820175346
NC_017122,86823,50,F,u,4.384353688891091e-66,0.007363094725716279
NC_017122,68129,64,Q,2,4.6399926995237476e-66,0.004304873436346465
NC_017122,57577,64,Q,2,4.6399926995237476e-66,0.0023075992422800233
NC_017110,25250,50,F,u,5.061304363857833e-66,0.005389647820175346
NC_017110,10218,71,Q,u,9.95986233569802e-66,0.00466616817911088
NC_017136,37149,24,Q,2,6.7184200983690226e-65,0.0046276487518945785
NC_017136,19153,50,F,u,2.3274928661247856e-64,0.005389647820175346
NC_017136,12511,50,F,u,2.407971295611087e-64,0.002138751798152717
NC_017136,149923,64,Q,2,4.9328650128091105e-64,0.0006523195397410743
NC_017136,13666,64,Q,2,4.9328650128091105e-64,0.003746798931279757
NC_017136,172554,71,Q,u,8.404362041647329e-64,0.0008710847039263152
NC_017136,185557,71,Q,u,9.861994927064092e-64,0.00899208467196907
NC_017113,11254,50,F,u,1.4228595474109668e-63,0.005389647820175346
NC_017113,86823,50,F,u,4.550884832550338e-63,0.007363094725716279
NC_017113,68129,64,Q,2,8.56190702810496e-63,0.004304873436346465
NC_017113,57577,64,Q,2,1.1016167762365268e-62,0.0023075992422800233
NC_017114,25250,50,F,u,1.1016167762365268e-62,0.005389647820175346
NC_017114,10218,71,Q,u,1.1016167762365268e-62,0.00466616817911088
NC_017117,37165,24,Q,2,1.2755765392377359e-62,0.0046276487518945785
NC_017117,19153,50,F,u,1.3472294533985105e-62,0.005389647820175346
NC_017117,12511,50,F,u,4.243704917546243e-62,0.002138751798152717
NC_017117,149939,64,Q,2,4.243704917546243e-62,0.0006523195397410743
NC_017117,13666,64,Q,2,4.243704917546243e-62,0.003746798931279757
NC_017117,172570,71,Q,u,4.243704917546243e-62,0.0008710847039263152
NC_017117,185573,71,Q,u,4.243704917546243e-62,0.00899208467196907
NC_017126,11254,50,F,u,4.243704917546243e-62,0.005389647820175346
NC_017126,86823,50,F,u,4.243704917546243e-62,0.007363094725716279
NC_017126,68129,64,Q,2,4.243704917546243e-62,0.004304873436346465
NC_017126,57577,64,Q,2,4.243704917546243e-62,0.0023075992422800233
NC_017127,25250,50,F,u,1.0841359151359811e-61,0.005389647820175346
NC_017127,10218,71,Q,u,1.0841359151359811e-61,0.00466616817911088
NC_017130,37157,24,Q,2,1.5207855001810099e-61,0.0046276487518945785
NC_017130,19153,50,F,u,1.5207855001810099e-61,0.005389647820175346
NC_017130,12511,50,F,u,1.5207855001810099e-61,0.002138751798152717
NC_017130,149931,64,Q,2,2.0460179705609484e-61,0.0006523195397410743
NC_017130,13666,64,Q,2,2.6450022035938115e-61,0.003746798931279757
NC_017130,172562,71,Q,u,2.6450022035938115e-61,0.0008710847039263152
NC_017130,185565,71,Q,u,2.6450022035938115e-61,0.00899208467196907
NC_017131,11254,50,F,u,2.6450022035938115e-61,0.005389647820175346
NC_017131,86823,50,F,u,2.6450022035938115e-61,0.007363094725716279
NC_017131,68129,64,Q,2,1.8822235179983958e-60,0.004304873436346465
NC_017131,57577,64,Q,2,1.8822235179983958e-60,0.0023075992422800233
NC_017147,25250,50,F,u,4.0086880540787186e-60,0.005389647820175346
NC_017147,10218,71,Q,u,5.208315343604999e-60,0.00466616817911088
NC_017134,37181,24,Q,2,7.529132539581632e-60,0.0046276487518945785
NC_017134,19153,50,F,u,1.4002226530529798e-59,0.005389647820175346
NC_017134,12511,50,F,u,1.601650705796557e-59,0.002138751798152717
NC_017134,149955,64,Q,2,1.8061625457888806e-59,0.0006523195397410743
NC_017134,13666,64,Q,2,4.940420691114817e-59,0.003746798931279757
NC_017134,172586,71,Q,u,5.640159762915927e-58,0.0008710847039263152
NC_017134,185589,71,Q,u,5.640159762915927e-58,0.00899208467196907
NC_017149,11254,50,F,u,6.621321600029874e-58,0.005389647820175346
NC_017149,86823,50,F,u,6.621321600029874e-58,0.007363094725716279
NC_017149,68129,64,Q,2,6.621321600029874e-58,0.004304873436346465
NC_017149,57577,64,Q,2,6.621321600029874e-58,0.0023075992422800233
NC_017135,25250,50,F,u,8.096185352144442e-58,0.005389647820175346
NC_017135,10218,71,Q,u,1.2234100932197067e-57,0.00466616817911088
NC_005793,74415,6,P,11,2.592398883096357e-57,3.095710838375739e-19
NC_005793,11448,20,Q,2,2.893607416677543e-57,0.0009119276579720027
NC_005793,1976,31,V,2,6.83833671892294e-55,0.008450071576820326
NC_005793,3826,50,F,u,1.5106917672824048e-54,0.007501712011214899
NC_005793,31229,64,Q,2,5.248194906490241e-54,0.00916136924790271
NC_005793,27760,64,Q,2,5.248194906490241e-54,0.005291275661059277
NC_005793,7013,69,Q,u,5.248194906490241e-54,0.007745694924802391
NC_005793,27684,71,Q,u,5.248194906490241e-54,0.005524085447268807
NC_005793,1917,72,Q,u,1.0717334860622655e-53,0.005775111687749658
NC_005793,1881,72,Q,u,1.0717334860622655e-53,0.008963144287250804
NC_006830,68724,6,P,11,1.0717334860622655e-53,1.652571990771133e-34
NC_006830,84080,24,Q,2,1.0717334860622655e-53,0.004780357621681377
NC_006830,83895,24,Q,2,1.0717334860622655e-53,0.007926115336894884
NC_006830,18418,50,F,u,1.1354131477526874e-53,0.0020852608408483226
NC_006830,56792,64,Q,2,1.7283530442670621e-53,0.009476771029972452
NC_006830,17541,64,Q,2,1.8837458308048478e-53,0.00645892717234421
NC_006830,9369,69,Q,u,2.8030907666245308e-53,0.0005705062252067402
NC_006830,15097,72,Q,u,3.378255499037026e-53,0.005913714958684
NC_014641,68721,6,P,11,4.8068255712638935e-53,1.652571990771133e-34
NC_014641,84048,24,Q,2,2.487953414461623e-52,0.00702522741898244
NC_014641,18415,50,F,u,6.380794485081298e-52,0.0020852608408483226
NC_014641,56786,64,Q,2,6.5909811620711555e-52,0.009476771029972452
NC_014641,82635,64,Q,2,6.847543173318862e-52,0.0007154188645615915
NC_014641,17538,64,Q,2,1.2295007455828153e-51,0.00645892717234421
NC_014641,9366,69,Q,u,1.4915301500110724e-51,0.0005705062252067402
NC_014642,76813,24,Q,2,1.7870656698450982e-51,0.003617931898052693
NC_014642,158790,24,Q,2,1.9156052215605357e-51,0.0007093496971965526
NC_014642,19719,31,V,2,3.996342237227124e-51,0.0008926072041760113
NC_014642,51337,31,V,2,6.908385284116032e-51,0.007136091133434298
NC_014642,14678,31,V,2,6.908385284116032e-51,0.0021705029861996835
NC_014642,97535,35,C,1,7.549193293085054e-51,0.008297750796691691
NC_014642,126651,50,F,u,1.0542232967940664e-50,0.0012449743037179356
NC_014642,95583,50,F,u,1.2843183062074575e-50,0.008265333613515934
NC_014642,35015,64,Q,2,1.4791787804008157e-50,0.0005799097194165334
NC_014642,27450,64,Q,2,1.4903096970959825e-50,0.007412426289337014
NC_014642,64273,64,Q,2,1.4936202199932235e-50,0.00039587710684015526
NC_014642,18413,64,Q,2,1.5384284000689102e-50,0.005126965413280111
NC_014642,63732,69,Q,u,1.5384284000689102e-50,0.002652530508334505
NC_014642,58430,71,Q,u,1.5384284000689102e-50,0.00023624378259721308
NC_014642,16010,72,Q,u,1.7257312532179558e-50,0.003903555762654708
NC_014642,193243,72,Q,u,2.2141075045744154e-50,0.005631970712107865
NC_014642,187076,72,Q,u,2.2141075045744154e-50,0.0025273208932968193
NC_022242,6014,31,V,2,3.1539399713238507e-50,0.008362967088690634
NC_022242,22543,35,C,1,6.479430702663841e-50,0.0014380049720981599
NC_022242,13798,50,F,u,7.600611275542096e-50,0.005039185987314897
NC_022242,3509,64,Q,2,1.245856461923521e-49,0.007036559878162944
NC_022242,13904,64,Q,2,1.245856461923521e-49,0.005597065479221315
NC_022242,19276,69,Q,u,1.245856461923521e-49,0.004979209363594647
NC_009467,98896,21,Q,2,1.4796137203748886e-49,0.009782737216515772
NC_009467,135314,24,Q,2,1.5376183915266082e-49,0.001871373122622132
NC_009467,71075,24,Q,2,1.6632932471550785e-49,0.0070641577297638515
NC_009467,53918,25,Q,2,1.6632932471550785e-49,0.00841512143902597
NC_009467,770,31,V,2,2.5450057401313687e-49,0.0005557255798710159
NC_009467,99110,31,V,2,6.07134068521499e-49,0.004983797497486254
NC_009467,167049,64,Q,2,7.226360548516519e-49,0.0009359666786208508
NC_009467,40746,64,Q,2,7.226360548516519e-49,0.0005579051722214894
NC_009467,56067,69,Q,u,7.226360548516519e-49,0.00965740373257079
NC_009467,104908,71,Q,u,2.3661265430735698e-48,0.007147602427895697
NC_009467,67350,71,Q,u,6.421786109998607e-48,0.0012713361251282215
NC_009467,137404,72,Q,u,9.85017019268617e-48,0.0008773247628722267
NC_009467,42701,72,Q,u,9.85017019268617e-48,0.009142403557207154
NC_009467,191048,72,Q,u,9.85017019268617e-48,6.009805096772514e-05
NC_009467,65986,72,Q,u,1.2705282530601689e-47,0.0002745114018941416
NC_009467,86666,72,Q,u,1.2804723066888704e-47,0.005950594927057402
NC_009467,43338,72,Q,u,1.2804723066888704e-47,0.007604320059685095
NC_009468,168025,24,Q,2,1.3193003275896926e-47,0.005094016973060393
NC_009468,74185,24,Q,2,1.3823642607517768e-47,0.0009081558559209996
NC_009468,163993,31,V,2,2.5515649840169613e-47,0.002344554797786048
NC_009468,16883,50,F,u,5.756990877813702e-47,0.007860684899947856
NC_009468,25411,50,F,u,7.163176938240206e-47,0.005031070321351253
NC_009468,172461,64,Q,2,1.23146170183439e-46,4.5004960791870676e-05
NC_009468,171457,64,Q,2,2.4446536695271493e-46,0.0007824568333501433
NC_009468,900,64,Q,2,2.4446536695271493e-46,0.002875811312041409
NC_009468,163933,64,Q,2,2.4446536695271493e-46,0.0006895414657125682
NC_009468,4674,64,Q,2,2.4446536695271493e-46,0.008654866785877227
NC_009468,32787,69,Q,u,2.4446536695271493e-46,0.00028435468476510303
NC_009468,67824,71,Q,u,2.4446536695271493e-46,0.004192377559574797
NC_009468,101444,71,Q,u,1.0638529135890764e-45,0.0005377251974170012
NC_009468,9473,71,Q,u,1.0638529135890764e-45,0.0050484770657153
NC_009468,148638,72,Q,u,1.1006013745248981e-45,0.0042068825535017135
NC_009468,73521,72,Q,u,1.1006013745248981e-45,1.2751473940263996e-05
NC_009468,40799,72,Q,u,1.1006013745248981e-45,0.0023559191790176025
NC_009469,29228,21,Q,2,1.1006013745248981e-45,0.008252022200352333
NC_009469,42166,25,Q,2,1.1006013745248981e-45,0.0022380015742445173
NC_009469,85387,50,F,u,1.5564201204065428e-45,0.0039134553907067045
NC_009469,17374,64,Q,2,3.537074381531549e-45,0.0008276760485482195
NC_009469,69288,71,Q,u,4.688449775815578e-45,0.0032141074220592225
NC_009469,22023,72,Q,u,5.931457327256389e-45,0.005563657510304511
NC_009469,27834,72,Q,u,6.673958439785229e-45,0.007822766867470453
NC_009470,15389,24,Q,2,7.253250198864687e-45,0.004057517369903834
NC_009470,15197,50,F,u,1.140889334210688e-44,0.0031503614730871658
NC_009471,250,64,Q,2,2.6990733467166433e-44,0.003640494570570646
NC_009471,5174,71,Q,u,3.313543164124118e-44,0.0031627173984155646
NC_009471,22692,72,Q,u,4.615030657825788e-44,0.0015493887122568733
NC_009472,8184,27,Q,u,6.362979682602013e-44,0.0005321822528810131
NC_009472,4715,69,Q,u,1.5109298345282899e-43,0.0020704292173547656
NC_015178,145773,20,Q,2,1.6589834879839779e-43,0.004300910326745349
NC_015178,235485,21,Q,2,1.7078481471488211e-43,0.00866683218972802
NC_015178,241440,24,Q,2,1.7376352949485799e-43,0.0006670530706220682
NC_015178,248857,24,Q,2,3.3180951220829582e-43,0.00027743444983433635
NC_015178,89951,24,Q,2,3.9539771144109365e-43,0.009144508915800707
NC_015178,257485,25,Q,2,3.9539771144109365e-43,0.005352545745553037
NC_015178,10107,31,V,2,4.276558431310649e-43,0.0038041741284636547
NC_015178,119206,64,Q,2,6.121331041953589e-42,7.833581888326999e-05
NC_015178,118229,64,Q,2,8.498850253985924e-42,0.0004024022382365955
NC_015178,175427,69,Q,u,9.565452152134133e-42,0.007324203250233321
NC_015178,49906,69,Q,u,1.0548386384901116e-41,0.004940380372838599
NC_015178,5317,71,Q,u,1.7361208778345203e-41,0.0064396221819071
NC_015178,184220,71,Q,u,1.8887823042746204e-41,0.0008284387175288342
NC_015178,66252,72,Q,u,1.975546000375005e-41,0.0009722106801645881
NC_015178,119086,72,Q,u,2.050669470277288e-41,0.004971190290661099
NC_015178,3214,72,Q,u,2.2051630745634822e-41,0.002879124118809036
NC_015178,107782,72,Q,u,2.2051630745634822e-41,0.004077184717533663
NC_015178,75251,108,V,u,2.2196617910324346e-41,0.008959017557054052
NC_015187,6580,13,P,5,2.2196617910324346e-41,0.0058933249434006355
NC_015187,56535,31,V,2,4.5521538134865786e-41,0.005524085447268807
NC_015187,34006,50,F,u,5.138747311300887e-41,0.002057123605204461
NC_015187,31545,71,Q,u,6.043058586565714e-41,0.0019389222200316726
NC_015187,28968,71,Q,u,6.043058586565714e-41,0.00039233801247496463
NC_015187,34208,71,Q,u,6.043058586565714e-41,0.0061243554360479605
NC_015187,18278,72,Q,u,6.043058586565714e-41,0.003262574126080467
NC_015179,6766,31,V,2,6.043058586565714e-41,0.004069681178868336
NC_015179,23711,64,Q,2,6.043058586565714e-41,0.0006838492700433133
NC_015179,21754,69,Q,u,6.10434300752007e-41,0.009666302627582949
NC_015188,14514,31,V,2,1.5093551282118064e-40,0.00912347712892025
NC_015188,11423,31,V,2,1.6822608745043054e-40,0.0003453507374192013
NC_015188,27777,50,F,u,1.941323999531263e-40,0.001020846367315334
NC_015188,14315,50,F,u,2.0741419659446267e-40,0.0005768466670621683
NC_015188,9155,50,F,u,2.0741419659446267e-40,0.006488740225595162
NC_015188,16279,64,Q,2,2.0741419659446267e-40,0.008483213314463691
NC_015180,9728,64,Q,2,2.0741419659446267e-40,4.025875939920894e-05
NC_015181,8097,50,F,u,2.0741419659446267e-40,0.0043427055894344774
NC_004734,2026,52,P,14,2.0741419659446267e-40,1.7284641953434115e-34
NC_015851,8279,13,P,5,2.0741419659446267e-40,0.00912347712892025
NC_015851,131784,24,Q,2,2.0741419659446267e-40,0.009566661064215368
NC_015851,138617,24,Q,2,2.0741419659446267e-40,0.00786611674458593
NC_015851,159983,31,V,2,2.0741419659446267e-40,0.009708684488669734
NC_015851,83350,50,F,u,2.2531400596243113e-40,0.00607100216407261
NC_015851,73236,50,F,u,2.557846670928756e-40,0.0023268071393835045
NC_015851,64279,64,Q,2,2.557846670928756e-40,0.0005397099039746628
NC_015851,8201,64,Q,2,2.557846670928756e-40,0.005620311514487713
NC_015851,180296,64,Q,2,2.557846670928756e-40,0.007704782575377588
NC_015851,162087,69,Q,u,2.557846670928756e-40,0.009351050183223008
NC_015851,122276,72,Q,u,4.308003816014578e-40,1.6697843552139144e-05
NC_015851,120689,72,Q,u,4.410097213627606e-40,0.007038180292501046
NC_015852,9272,53,P,14,7.076707381406942e-40,1.1044864383761416e-25
NC_015853,3330,27,Q,u,7.076707381406942e-40,0.0076623218048742815
NC_015853,2800,64,Q,2,2.1203364707293293e-39,0.001878712771345691
NC_015853,3830,72,Q,u,2.1203364707293293e-39,0.005403316257875517
NC_015854,6294,21,Q,2,2.1203364707293293e-39,0.00416831362242156
NC_015854,27290,31,V,2,3.8770431443418155e-39,0.0067867271232113155
NC_015854,14766,64,Q,2,4.962485757458791e-39,6.727603497581116e-06
NC_015854,7795,64,Q,2,5.4237796965633385e-39,0.0068589934429389605
NC_015854,5179,71,Q,u,6.825184876508688e-39,0.00974451857244243
NC_010600,44139,20,Q,2,7.643733909557373e-39,0.0017855021919350386
NC_010600,25918,24,Q,2,7.643733909557373e-39,0.003244594201291891
NC_010600,25898,31,V,2,7.643733909557373e-39,0.005973933552547328
NC_010600,49298,52,P,14,7.976796621446314e-39,1.4556614730008832e-34
NC_010600,13731,60,Q,1,9.038794575142427e-39,1.5179602101787995e-05
NC_010600,25052,64,Q,2,9.038794575142427e-39,8.001296933748255e-06
NC_010600,1987,64,Q,2,9.038794575142427e-39,0.0067307023869770145
NC_010600,43436,64,Q,2,9.290566350544956e-39,0.008899393039069857
NC_005023,16326,20,Q,2,1.5921732689928012e-38,0.005109288047383307
NC_001520,383,72,Q,u,2.0686029211290245e-38,0.00766055769318638
NC_008765,15408,24,Q,2,3.7296865140343764e-38,0.005141151331784832
NC_008765,13531,31,V,2,7.337968527658388e-38,0.007703008687861493
NC_008765,54380,31,V,2,9.365494186226682e-38,0.008073472822884802
NC_008765,37300,31,V,2,1.2450523286384135e-37,0.004103556219167986
NC_008765,10565,50,F,u,1.257032640124876e-37,0.0013802583644836116
NC_008765,39985,72,Q,u,1.3305634132389755e-37,0.004725637320480021
NC_008766,55381,6,P,11,1.5910053854884167e-37,9.590922632896316e-31
NC_008766,3822,21,Q,2,1.9999341098740176e-37,0.007272109131900599
NC_008766,18826,24,Q,2,2.280293095998189e-37,0.006360047917281237
NC_008766,34533,31,V,2,2.352705800148226e-37,0.0049075008973254435
NC_008766,46203,31,V,2,2.3857634975638563e-37,0.002861280187614544
NC_008766,44862,71,Q,u,2.946189203445437e-37,0.001900467239948979
NC_008766,43520,71,Q,u,2.946189203445437e-37,0.005689320340781533
NC_017163,65215,11,P,4,4.676742451153223e-37,0.0019136406495200077
NZ_AEOY01000095,12825,11,P,4,5.281307954372584e-37,0.0019136406495200077
NC_010606,12823,11,P,4,7.362956946378612e-37,0.0019136406495200077
NC_009083,13337,83,V,1,7.362956946378612e-37,0.009224872825758276
NC_021728,1019,31,V,2,7.362956946378612e-37,0.008362967088690634
NC_021734,24049,64,Q,2,7.362956946378612e-37,0.007993930859653737
NC_021732,2148,31,V,2,9.58448337227324e-37,0.008362967088690634
NZ_ALII01000020,66238,11,P,4,9.58448337227324e-37,0.004528562726670847
NZ_AFDA02000009,38247,69,Q,u,1.4710364280270211e-36,0.0008238732225370019
NZ_AFDA02000007,62412,11,P,4,1.4710364280270211e-36,0.0019136406495200077
NZ_AFDB02000004,57697,11,P,4,1.4710364280270211e-36,0.0019136406495200077
NZ_ALAL01000013,51322,11,P,4,1.8007838261214715e-36,0.001693403245095414
NZ_ALAL01000013,120167,69,Q,u,1.8007838261214715e-36,0.0009769231197361444
NZ_AFDK01000004,51798,11,P,4,1.9314493837346144e-36,0.001693403245095414
NZ_AFDK01000004,120633,69,Q,u,2.5005304157442647e-36,0.0009769231197361444
NZ_AFDL01000008,37819,11,P,4,2.5005304157442647e-36,0.001693403245095414
NZ_AFDL01000008,109330,69,Q,u,2.8402671281740133e-36,0.0009769231197361444
NZ_AFDL01000006,15740,11,P,4,3.618995013109081e-36,0.004528562726670847
NC_019985,15261,64,Q,2,6.940337192864722e-36,0.0009094113866928064
NC_019985,13556,64,Q,2,6.940337192864722e-36,0.0002121584763017137
